1,5,132
2,10,131
3,15,131
4,20,134
5,25,134
6,30,841
7,35,134
8,40,854
9,45,135
10,50,142
11,55,134
12,60,138
13,65,844
14,70,140
15,75,847
16,80,136
17,85,851
18,90,843
19,95,141
20,100,844
21,105,135
22,110,844
23,115,137
24,120,850
25,125,843
26,130,141
27,135,841
28,140,138
29,145,849
30,150,844
31,155,153
32,160,844
33,165,138
34,170,841
35,175,841
36,180,850
37,185,846
38,190,141
39,195,845
40,200,845
41,205,847
42,210,845
43,215,220
44,220,844
45,225,844
46,230,842
47,235,841
48,240,854
49,245,842
50,250,843
51,255,842
52,250,842
53,245,843
54,240,844
55,235,841
56,230,843
57,225,844
58,220,852
59,215,843
60,210,844
61,205,844
62,200,843
63,195,178
64,190,844
65,185,841
66,180,854
67,175,846
68,170,140
69,165,842
70,160,844
71,155,853
72,150,846
73,145,135
74,140,843
75,135,846
76,130,143
77,125,844
78,120,136
79,115,850
80,110,843
81,105,137
82,100,844
83,95,133
84,90,252
85,85,841
86,80,137
87,75,844
88,70,140
89,65,233
90,60,844
91,55,138
92,50,845
93,45,137
94,40,177
95,35,133
96,30,137
97,25,841
98,20,133
99,15,213
100,10,133
101,5,136
102,0,137
103,5,133
104,10,132
105,15,133
106,20,130
107,25,133
108,30,137
109,35,844
110,40,135
111,45,852
112,50,135
113,55,182
114,60,131
115,65,137
116,70,842
117,75,136
118,80,841
119,85,138
120,90,849
121,95,841
122,100,144
123,105,842
124,110,138
125,115,842
126,120,133
127,125,850
128,130,844
129,135,138
130,140,846
131,145,134
132,150,851
133,155,844
134,160,153
135,165,846
136,170,137
137,175,843
138,180,845
139,185,853
140,190,846
141,195,142
142,200,845
143,205,845
144,210,850
145,215,844
146,220,246
147,225,846
148,230,845
149,235,847
150,240,842
151,245,852
152,250,843
153,255,842
154,250,841
155,245,846
156,240,848
157,235,842
158,230,846
159,225,844
160,220,847
161,215,846
162,210,843
163,205,845
164,200,843
165,195,845
166,190,145
167,185,848
168,180,847
169,175,849
170,170,844
171,165,136
172,160,841
173,155,844
174,150,295
175,145,846
176,140,137
177,135,854
178,130,842
179,125,141
180,120,846
181,115,136
182,110,852
183,105,846
184,100,138
185,95,843
186,90,135
187,85,176
188,80,845
189,75,139
190,70,846
191,65,136
192,60,200
193,55,846
194,50,136
195,45,840
196,40,135
197,35,156
198,30,134
199,25,135
200,20,847
201,15,135
202,10,151
203,5,135
204,0,133
205,5,131
206,10,135
207,15,116
208,20,132
209,25,140
210,30,136
211,35,137
212,40,844
213,45,138
214,50,850
215,55,136
216,60,210
217,65,134
218,70,140
219,75,846
220,80,138
221,85,844
222,90,134
223,95,853
224,100,845
225,105,142
226,110,844
227,115,136
228,120,843
229,125,846
230,130,850
231,135,843
232,140,138
233,145,845
234,150,843
235,155,851
236,160,847
237,165,142
238,170,844
239,175,844
240,180,843
241,185,846
242,190,852
243,195,845
244,200,845
245,205,846
246,210,845
247,215,848
248,220,845
249,225,844
250,230,843
251,235,843
252,240,847
253,245,844
254,250,844
255,255,846
256,250,848
257,245,846
258,240,841
259,235,846
260,230,847
261,225,843
262,220,851
263,215,846
264,210,843
265,205,846
266,200,842
267,195,850
268,190,847
269,185,845
270,180,844
271,175,844
272,170,147
273,165,845
274,160,843
275,155,849
276,150,848
277,145,140
278,140,842
279,135,845
280,130,222
281,125,842
282,120,136
283,115,852
284,110,846
285,105,139
286,100,844
287,95,134
288,90,851
289,85,846
290,80,137
291,75,846
292,70,136
293,65,853
294,60,136
295,55,137
296,50,844
297,45,136
298,40,851
299,35,136
300,30,139
301,25,844
302,20,135
303,15,852
304,10,134
305,5,138
306,0,131
307,5,130
308,10,135
309,15,133
310,20,129
311,25,136
312,30,136
313,35,131
314,40,137
315,45,846
316,50,136
317,55,849
318,60,133
319,65,143
320,70,848
321,75,136
322,80,846
323,85,135
324,90,851
325,95,136
326,100,369
327,105,846
328,110,139
329,115,844
330,120,134
331,125,850
332,130,846
333,135,141
334,140,848
335,145,132
336,150,846
337,155,846
338,160,852
339,165,848
340,170,138
341,175,846
342,180,846
343,185,849
344,190,846
345,195,173
346,200,848
347,205,847
348,210,845
349,215,844
350,220,849
351,225,848
352,230,843
353,235,843
354,240,845
355,245,850
356,250,846
357,255,845
358,250,846
359,245,845
360,240,847
361,235,848
362,230,844
363,225,843
364,220,846
365,215,849
366,210,845
367,205,844
368,200,843
369,195,845
370,190,372
371,185,847
372,180,845
373,175,849
374,170,844
375,165,137
376,160,846
377,155,847
378,150,853
379,145,843
380,140,136
381,135,844
382,130,846
383,125,142
384,120,846
385,115,135
386,110,849
387,105,846
388,100,140
389,95,845
390,90,136
391,85,854
392,80,843
393,75,139
394,70,844
395,65,136
396,60,851
397,55,846
398,50,138
399,45,844
400,40,134
401,35,262
402,30,133
403,25,136
404,20,846
405,15,136
406,10,346
407,5,137
408,0,133
409,5,135
410,10,136
411,15,849
412,20,134
413,25,162
414,30,135
415,35,139
416,40,135
417,45,136
418,50,847
419,55,138
420,60,852
421,65,137
422,70,141
423,75,844
424,80,140
425,85,844
426,90,137
427,95,852
428,100,133
429,105,157
430,110,845
431,115,137
432,120,843
433,125,135
434,130,850
435,135,844
436,140,142
437,145,846
438,150,137
439,155,854
440,160,845
441,165,850
442,170,846
443,175,137
444,180,846
445,185,847
